Sr no,HEAD,HEAD_NAME,min_name_new
48,1202,Delhi Milk Scheme,Agriculture
49,1203,Central Cattle Breeding Farm Suratgarh,Agriculture
50,1204,"Central Cattle Breeding Farm, Bangalore",Agriculture
51,1205,"Central Sheep Breeding Farm, Hissar",Agriculture
52,1206,Central Poultry Breeding Farm,Agriculture
53,1207,"Central Poultry Breeding Farm, Mumbai",Agriculture
54,1208,"Central Poultry Breeding Farm, Bhubaneswar",Agriculture
55,1209,"Central Poultry Breeding Farm, Bangalore",Agriculture
56,1210,"Central Poultry Breeding Farm, Chandigarh",Agriculture
57,1211,Central Duck Breeding Farm Bangalore,Agriculture
58,1212,"Central Poultry Trg. Instt., Bangalore",Agriculture
59,1213,"National Project on Rinderpest, Delhi",Agriculture
60,1214,"National Inst. of Fisheries,Post Harvest Technology and Trg, Kochi(Ingrd.Fishereis Proj)",Agriculture
61,1215,"Central Instt. of Fish  Nautical & Engg. Technology, Kochi",Agriculture
62,1216,"Fish Survey of India, Mumbai",Agriculture
63,1217,"Fish Survey of India, Porbander",Agriculture
64,1218,"Fish Survey of India, Port Blair",Agriculture
65,1219,"Fish Survey of India, Cochin",Agriculture
66,1220,"Fish Survey of India, Goa",Agriculture
67,1221,"National Fisheries Development Board, Hyderabad",Agriculture
68,1222,"Veterinary Council of India, New Delhi",Agriculture
69,1223,"Fisheries Survey of India, Chennai",Agriculture
70,1224,"Central Poultry Performance, Testing Centre, Gurgaon",Agriculture
71,1301,Deptt. of Agricultural Research & Education,Agriculture
72,1302,INDIAN COUNCIL OF AGRICULTURAL RESEARCH (PRO),Agriculture
73,1303,ICAR (Admn),Agriculture
74,1304,ICAR (Education),Agriculture
75,1305,ICAR (Award Cell),Agriculture
76,1306,"ICAR(DIPA), Delhi",Agriculture
77,1307,Agricultural Scientists Recruitment Board (ASRB),Agriculture
78,1308,NATP,Agriculture
79,1309,NAIP,Agriculture
80,1310,CIBA Chennai,Agriculture
81,1311,"DRR, Hyderabad",Agriculture
82,1312,"PD of Cattle, Meerut",Agriculture
83,1313,"IGRI, Bangalore",Agriculture
84,1314,"CIFT, Kochi",Agriculture
85,1315,"NCIPM, New Delhi",Agriculture
86,1316,"NE Complex, Shillong",Agriculture
87,1317,"NAARM, Hyderabad",Agriculture
88,1318,"CARI, U.P.",Agriculture
89,1319,"IVRI, Izatnagar",Agriculture
90,1320,"IARI, New Delhi",Agriculture
91,1321,"NRC, EQUINES, Hissar",Agriculture
92,1322,"CSWRI, Jaipur",Agriculture
93,1323,"NDRI, Karnal",Agriculture
94,1324,"CMFRI, Kochi",Agriculture
95,1325,"SBI, Coimbtore",Agriculture
96,1326,"CRRI, Cuttack",Agriculture
97,1327,"CT CRI, Trivendrum",Agriculture
98,1328,"NATIONAL INSTITUTE OF RESEARCH ON JUTE AND ALLIED FIBRE TECHNOLOGY,KOLKATA",Agriculture
99,1329,"IASRI, Delhi",Agriculture
100,1330,"CIRCOT, Mumbai",Agriculture
101,1331,"IVRI, Nainital",Agriculture
102,1332,"CAZRI, Jodhpur",Agriculture
103,1333,"CSSRI, Karnal",Agriculture
104,1334,VPKA Almora,Agriculture
105,1335,"CICFRI, Barrackpur",Agriculture
106,1336,"CTRI, Rajamudri",Agriculture
107,1337,"CPRI, Shimla",Agriculture
108,1338,"CRIJAF, Barrackpur",Agriculture
109,1339,"IIHR, Bangalore",Agriculture
110,1340,"CIRG, Mathura",Agriculture
111,1341,"IGFRI, Jhansi",Agriculture
112,1342,"ILRI, Ranchi",Agriculture
113,1343,"DOR, Hyderabad",Agriculture
114,1344,"CARI, Port Blair",Agriculture
115,1345,"CSWCR, Dehradun",Agriculture
116,1346,"NRCCWF, Nainital",Agriculture
117,1347,"NBSSLUP, Nagpur",Agriculture
118,1348,"NACF, Delhi",Agriculture
119,1349,"NBPGR, Delhi",Agriculture
120,1350,"NRC Camel, Bikaner",Agriculture
121,1351,"CISS, Lucknow",Agriculture
122,1352,"NBAGR, Karnal",Agriculture
123,1353,"NBFGR, Allahabad",Agriculture
124,1354,"PDPOULTRY,  Hyderabad",Agriculture
125,1355,"National research Centre for Agroforestry, Jhansi",Agriculture
126,1356,"NRC, Citrus, Nagpur",Agriculture
127,1357,"NRC Weed Science, Jabalpur",Agriculture
128,1358,"PDBC, Bangalore",Agriculture
129,1359,High Security Animal Disease Lab (I.V.R.I) Bhopal,Agriculture
130,1360,"IVR, Varanasi",Agriculture
131,1361,"NRCASU, Karnataka",Agriculture
132,1362,"CIPHE, Ludhiana",Agriculture
133,1363,"CITH, Srinagar",Agriculture
134,1364,"NRC for Women, Bhubaneswar",Agriculture
135,1365,"NRC for Mithun, Nagaland",Agriculture
136,1366,"NRC for Orchid, Sikkim",Agriculture
137,1367,"NIANP, Bangalore",Agriculture
138,1368,"NRC, Sorgum, Hyderabad",Agriculture
139,1369,Project Dte. for Foot & Mouth Disease,Agriculture
140,1370,"Central Agricultural University, Imphal",Agriculture
141,1371,"ADMASS, Bangalore",Agriculture
142,1372,"NBSSLUP, Delhi",Agriculture
143,1373,"National Research Centre for Soyabean, Indore",Agriculture
144,1374,"National Dairy Research Institute, Kalyani",Agriculture
145,1375,"National Institute of Agriculture (NIAM), Jaipur",Agriculture
146,1376,"Punjab Agricultural University, Ludhiana",Agriculture
147,1377,Agrinnovate India Ltd,Agriculture
148,1378,National research Centre on Plant Biotechnology,Agriculture
149,2101,D/o. Chemicals & Petrochemicals,Chemical & Fertilizers
150,2102,National Pharmaceutical  Pricing Authority,Chemical & Fertilizers
151,2103,"Instt. of  Pesticide Formulation Technology, Gurgaon",Chemical & Fertilizers
152,2104,"Indian Drugs and Pharmaceuticals Lmt, Gurgoan",Chemical & Fertilizers
153,2105,"Projects And Development India Limited,Noida",Chemical & Fertilizers
154,2106,Hindustan Organic Chemicals Limited,Chemical & Fertilizers
155,2107,Department of Pharmaceuticals,Chemical & Fertilizers
156,2108,"Central Institute of Plastics Engineering & Technology (CIPET),Agartala",Chemical & Fertilizers
157,2201,D/o. Fertilizers,Chemical & Fertilizers
158,2202,Fertilizer Industry Coordination Committee,Chemical & Fertilizers
159,2203,Brahmputra Valley Fertilizers Corporation,Chemical & Fertilizers
160,2204,"Central Institute of Plastic Engg. Technology,Guwahati",Chemical & Fertilizers
161,2205,Rashtriya Chemicals and Fertilizers Ltd.,Chemical & Fertilizers
162,2206,National Fertilizers Limited,Chemical & Fertilizers
163,2207,"Projects & Development India Ltd.(PDIL),Dhanbad",Chemical & Fertilizers
164,2208,"FCI Aravali Gypsum and Minerals India Ltd.,Jodhpur",Chemical & Fertilizers
165,3101,M/o. Civil Aviation,Civil Aviation
166,3102,DG Civil Aviation,Civil Aviation
167,3103,Indira Gandhi International Airport,Civil Aviation
168,3104,Indira Gandhi Rashtriya Udan Academy,Civil Aviation
169,3105,"Bureau of Civil Aviation Security, New Delhi",Civil Aviation
170,3106,"Hotel Corporation of India Ltd., New Delhi",Civil Aviation
171,3107,"Office of the Director of Airworthiness, Mumbai Airport, Mumbai",Civil Aviation
172,3108,"Office of the Director of Airworthiness,L.G.B.I Airport,Guwahati",Civil Aviation
173,3109,Pawan Hans Limited,Civil Aviation
174,3110,Rajiv Gandhi National Aviation University (RGNAU),Civil Aviation
175,3111,Airports Authority of India,Civil Aviation
176,3112,Airports Economic Regularity Authority of India,Civil Aviation
177,3113,Commissioner of Metro Railway Safety (CMRS),Civil Aviation
178,4101,M/o. Coal,Coal
179,4102,"Coal Mines PF Organisation, Dhanbad",Coal
180,4103,Coal India Limited,Coal
181,4104,South Eastern Coalfields Limited.,Coal
182,4105,Mahanadi Coalfields Ltd.,Coal
183,4106,Eastern Coalfields Limited,Coal
184,5101,D/o. Commerce,Commerce & Industry
185,5102,"Export Inspection Council of India, Delhi",Commerce & Industry
186,5103,"Indian Institute of Foreign Trade, Delhi",Commerce & Industry
187,5104,Federation of Indian Export Organisation,Commerce & Industry
188,5105,DG Foreign Trade,Commerce & Industry
189,5106,"DG, Commerce Intelligence, Kolkata",Commerce & Industry
190,5107,"Madras, Special Economic Zone",Commerce & Industry
191,5108,"Vishakapatnam, Special Economic Zone",Commerce & Industry
192,5109,"India Trade Promotion Organization, New Delhi",Commerce & Industry
193,5110,"M.M.T.C. Ltd, New Delhi",Commerce & Industry
194,5111,"Council for Leather Exports, Egmore, Chennai",Commerce & Industry
195,5112,"Agricultural and Processed Food Products Export Development Authority, New Delhi",Commerce & Industry
196,5113,"Office of the Development Commissioner, SEEPZ, SEZ, Mumbai",Commerce & Industry
197,5114,Indo - Asean,Commerce & Industry
198,5115,"EEPC INDIA,New Delhi",Commerce & Industry
199,5116,"Indian Institute Of Packaging,Mumbai",Commerce & Industry
200,5117,"Indian Institute of Packaging, Chennai Centre",Commerce & Industry
201,5118,Pharmaceuticals Export Promotion Council of India,Commerce & Industry
202,5119,"Tea Board, India",Commerce & Industry
203,5120,"Special Economic Zone,Indore",Commerce & Industry
204,5121,Footwear Design & Development Institute,Commerce & Industry
205,5122,CHEMEXIL,Commerce & Industry
206,5123,"Shellac and Forest Products Export Promotion Council(SHEFEXIL),kolkata",Commerce & Industry
207,5124,The Rubber Board,Commerce & Industry
208,5125,India Brand Equity Foundation,Commerce & Industry
209,5126,Government e-Marketplace(GeM),Commerce & Industry
210,5201,D/o. Industrial Policy & Promotion,Commerce & Industry
211,5202,"Controller General Of Patents, Designs & Trade Marks",Commerce & Industry
212,5203,DG S&D,Commerce & Industry
213,5204,"National Instt. of Foundary & Forge Technology, Ranchi",Commerce & Industry
214,5205,"Quality Council, Delhi",Commerce & Industry
215,5206,"National Productivity Council, Delhi",Commerce & Industry
216,5207,"National Council for Cement & Building Materials, Ballabhgarh, Haryana.",Commerce & Industry
217,5208,"The Salt Commissioner, Jaipur",Commerce & Industry
218,5209,"D/o. Explosives/Petroleum & Explosives Safety Orgn., Nagpur",Commerce & Industry
219,5210,"National Manufacturing Competitiveness Council, Vigyan Bhavan Annexe, Delhi",Commerce & Industry
220,5211,Intellectual Property Appellate Board,Commerce & Industry
221,5212,"Central Pulp & Paper Research Institute, Saharanpur",Commerce & Industry
222,5213,"Salt Commissioner, Chennai",Commerce & Industry
223,5214,"Petroleum and Explosives Safety Organisation, Agra",Commerce & Industry
224,5215,The Plastics Export Promotional Council (PLEXCONCIL),Commerce & Industry
225,5216,"National Institute of Design(NID),Ahmedabad",Commerce & Industry
226,5217,Services Export Promotion Council,Commerce & Industry
227,5218,"National Institute of Design(NID),Andhra Pradesh",Commerce & Industry
228,5219,"National Institute of Design(NID),Haryana",Commerce & Industry
229,5220,Spices Board,Commerce & Industry
230,6101,D/o. Information Technology,Information Technology
231,6102,"DOEACC, New Delhi",Information Technology
232,6103,"Centre of Electronic Design, Imphal",Information Technology
233,6104,"National Institute Of Electronics And Information Technology (NIELIT),Calicut",Information Technology
234,6105,Centre for Advance Computing,Information Technology
235,6106,National Informatics Centre,Information Technology
236,6107,NICSI,Information Technology
237,6108,Controller of Certifying Authority,Information Technology
238,6109,"SOCIETY FOR APPLIED MICROWAVE ELECTRONIC ENGG. AND RESEARCH, MUMBAI",Information Technology
239,6110,"CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING, HYDERABAD",Information Technology
240,6111,"SOFTWARE TECHNOLOGY PARKS OF INDIA, DEHRADUN",Information Technology
241,6112,"DOEACC, GUWAHATI",Information Technology
242,6113,"CENTRE FOR DEV.OF ADVANCE COMPUTING, BANGALORE",Information Technology
243,6114,"Indian Institute of Quality Management, Jaipur",Information Technology
244,6115,"CENTRE FOR ELECTRONICS TEST ENGINEERING (CETE), NOIDA",Information Technology
245,6116,"STQC Directorate, New Delhi",Information Technology
246,6117,ERNET India (New Delhi),Information Technology
247,6118,"STQC IT SERVICES, KOLKATA",Information Technology
248,6119,"Centre for Electromagnatics, Chennai",Information Technology
249,6120,"Centre for Reliability, Chennai",Information Technology
250,6121,"Electonics Regional Test Laboratory (East), Kolkata",Information Technology
251,6122,"Electronics Test and Development Centre, Chennai",Information Technology
252,6123,"Software Technology Parks of India, New Delhi",Information Technology
253,6124,National e-Governance Plan (NeGP),Information Technology
254,6125,"Electronics Test and Development Centre,Agartala",Information Technology
255,6126,"Electronics Test and Development Centre, Guwahati",Information Technology
256,6127,"National Institute of Electronics And Information Technology (NIELIT),Agartala",Information Technology
257,6128,"Electronics Regional Test Laboratory (North),New Delhi",Information Technology
258,6129,"Electronics Test and Development Centre, Ajmer",Information Technology
259,6130,"Centre for Development of Advanced Computing, Noida",Information Technology
260,6131,"Centre for Development of Advanced Computing, New Delhi",Information Technology
261,6132,"Centre for Development of Advanced Computing,Pune",Information Technology
262,6133,"Center for Materials for Electronics Technology,Thrissur",Information Technology
263,6134,"Center for Materials for Electronics Technology,Mohali",Information Technology
264,6135,Common Services Centers(CSC),Information Technology
265,6136,"Software Technology Parks of India,Noida",Information Technology
266,6137,"National Institute Of Electronics And Information Technology (NIELIT),Guwahati",Information Technology
267,6138,"Centre for Development of Advanced Computing,Mumbai",Information Technology
268,6139,"SAMEER- Centre for Electromagnetic Environmental Effects (E3),Visakhapatnam",Information Technology
269,6140,"Centre for Development of Advanced Computing,Silchar",Information Technology
270,6141,"National Institute Of Electronics And Information Technology (NIELIT),Chandigarh",Information Technology
271,6142,"National Institute Of Electronics And Information Technology (NIELIT),Ajmer",Information Technology
272,6143,"National Institute Of Electronics And Information Technology (NIELIT),Chennai",Information Technology
273,6144,"National Institute Of Electronics And Information Technology (NIELIT),Shillong",Information Technology
274,6145,"National Institute Of Electronics And Information Technology (NIELIT),Kurukshetra",Information Technology
275,6146,"National Instiute Of Electronics And Information Technology (NIELIT),Gorakhpur",Information Technology
276,6147,"Centre for Development of Advance Computing,Kolkata",Information Technology
277,6148,"National Institute of Electronics And Information Technology (NIELIT),Shimla",Information Technology
278,6149,"National Institute of Electronics And Information Technology (NIELIT),Haridwar",Information Technology
279,6150,"National Institute of Electronics And Information Technology (NIELIT),Imphal",Information Technology
280,6151,"Software Technology Parks of India,Guwahati",Information Technology
281,6152,"National Institute of Electronics And Information Technology (NIELIT), Aurangabad",Information Technology
282,6153,"Centre for Development of Advanced Computing,Patna",Information Technology
283,6154,"Centre for Development of Advanced Computing,Chennai",Information Technology
284,6201,Deptt. of Telecommunications,Telecommunications
285,6202,Telecom Regulatory Authority of India,Telecommunications
286,6203,"MTNL, Delhi",Telecommunications
287,6204,"BSNL, Delhi",Telecommunications
288,6205,"BSNL, Northern Region",Telecommunications
289,6206,"D/o. Telecom, Lucknow",Telecommunications
290,6207,"Telecom Disputes Settlement and Appellate Tribunal, New Delhi",Telecommunications
291,6208,"B S N L, Jamnagar",Telecommunications
292,6209,"BSNL, O/o PGMTD, Jaipur",Telecommunications
293,6210,"BSNL - O/o GMTD, Banswara",Telecommunications
294,6211,"BHARAT SANCHAR NIGAM LIMITED, TIRUVANANTHAPURAM",Telecommunications
295,6212,"BHARAT SANCHAR NIGAM LIMITED, GHAZIABAD",Telecommunications
296,6213,"BSNL, Patna",Telecommunications
297,6214,"BSNL, Chennai",Telecommunications
298,6215,"Telecom Enforcement Resource And Monitoring (TERM) Cell,Guwahati",Telecommunications
299,6216,"Telecommunication Consultants India Limited,New Delhi",Telecommunications
300,6217,"Bharat Broadband Newtwork Limited,Delhi",Telecommunications
301,6218,"Telecom Regulatory Authority of India-TCEP Fund,Delhi",Telecommunications
302,6219,"O/o Controller Of Communication Accounts,Rajsthan Telecom Circle, Jaipur",Telecommunications
303,6220,"Office of Principal CCA, Delhi Region",Telecommunications
304,6221,"Telecom Enforcement Resource And Monitoring (TERM) Cell,Pune",Telecommunications
305,6222,"Telecom Enforcement Resource And Monitoring (TERM) Cell,Patna",Telecommunications
306,6223,Indian Telephone Industries (ITI) Ltd.,Telecommunications
307,6224,"Telecom Enforcement, Resources & Monitoring Cell",Telecommunications
308,6225,Wireless Monitoring Organiztaion,Telecommunications
309,6226,"Telecom Enforcement Resource And Monitoring (TERM) Cell,Merrut",Telecommunications
310,6227,"Office of Senior Dy. Director General (TERM),Kerala",Telecommunications
311,6228,"Office of Sr. DDG,J&K Licensed Service Area",Telecommunications
312,6229,"Office of Advisor,Karnataka Licensed Service Area",Telecommunications
313,6230,"Office of Sr. DDG MPLSA,Bhopal",Telecommunications
314,6231,"Office of Sr. DDG AP LSA,Hyderabad",Telecommunications
315,6232,"MTNL Corporate Office,Delhi",Telecommunications
316,6233,"Office of Senior Dy. Director General,Haryana LSA,Ambala",Telecommunications
317,6234,"Telecom Enforcement Resource And Monitoring (TERM) Cell,Chandigarh",Telecommunications
318,6235,"Telecom Engineering Centre (TEC),New Delhi",Telecommunications
319,6236,"MTNL,Mumbai",Telecommunications
320,6237,"O/o Controller Of Communication Accounts,M.P Circle,Bhopal",Telecommunications
321,6238,"O/o The Controller Of Communication Accounts,Kolkota",Telecommunications
322,6239,"Office of Sr. DDG LSA,Gujarat",Telecommunications
323,6240,"BSNL,Jharkhand",Telecommunications
324,6241,"O/o The Controller Of Communication Accounts,Dehradun",Telecommunications
325,6242,"O/o The Controller Of Communication Accounts,Ranchi",Telecommunications
326,6243,"Telecom Enforcement Resource And Monitoring (TERM) Cell,Ranchi",Telecommunications
327,6244,"O/o Controller Of Communication Accounts,West Bengal and Sikkim Circle",Telecommunications
328,6245,"O/o DDG(State Coordination),Uttarakhand",Telecommunications
329,6246,"Office of Advisor,Tamil Nadu Licensed Service Area",Telecommunications
330,6247,"NTIPRIT,Ghaziabad",Telecommunications
331,6301,D/o. Posts,Posts
332,6302,Dte. of Postal Life Insurance,Posts
333,6303,"Asstt.Director, CPMG, Delhi Circle",Posts
334,6304,"Postal Staff College, Ghaziabad",Posts
335,6305,"Business Development & Mktg. Dte, Dak Bhavan",Posts
336,6306,"Executive Engineer, Postal Division,Shimla",Posts
337,6307,"Asstt. Director (Rectt.), Chief Postmaster,Chennai",Posts
338,6308,"Chief PMG, UP Circle, Lucknow",Posts
339,6309,"Central Workshops, Postal Machines, Naraina Delhi.",Posts
340,6310,"SSPO, South East Division New Delhi",Posts
341,6311,"Executive Engineer, Postal Civil Division, Ambala",Posts
342,6312,"Executive Engineer, Postal Civil Division, Kolkata",Posts
343,6313,"CPMG, Assam Circle Guwahati",Posts
344,6314,"Asst.Director, CPMG, Meghdoot Bhavan, Delhi",Posts
345,6315,"CPMG. AP Circle, Hyderabad",Posts
346,6316,"CPMG, Orissa Circle",Posts
347,6317,"PMG, Karnool",Posts
348,6318,Inter Money Transfer Service,Posts
349,6319,Internationa Mail Delhi,Posts
350,6320,"Asstt. Director Mail (MO) CPMG, Meghdoot Bhavan, Delhi",Posts
351,6321,F.S.D. D/o. Post,Posts
352,6322,"CPMG, Maharashtra Circle, Mumbai (PLI & Asst. PMG Technology)",Posts
353,6323,"SSPO South Divn, Delhi",Posts
354,6324,"PLI Karnataka Circle, Bangalore",Posts
355,6325,"BD Group,CPMG, Meghdoot Bhavan, Delhi",Posts
356,6326,CPMG (BDG) Hyderabad,Posts
357,6327,"CPMG Raj. Circle, Jaipur",Posts
358,6328,"Chief Postmaster GPO, New Delhi",Posts
359,6329,Sr. Supdt. Sorting Divn. Delhi,Posts
360,6330,"BD Divn,CPMG, Maharashtra Circle Mumbai",Posts
361,6331,"Philately Divn. CPMG, Meghdoot Bhavan, New Delhi",Posts
362,6332,Dte. Postal Service (HQ & Mails) Mumbai,Posts
363,6333,"Technology Divn, Dak Bhavan, New Delhi",Posts
364,6334,"Office of the Senior Manager, Mail Motor Service, Naraina",Posts
365,6335,"Chief Postmaster General,Jharkhand Circle,Meghdoot Bhawan,Ranchi",Posts
366,6336,"Chief Postmaster General,Uttarakhand Circle,Dehradun",Posts
367,6337,"Chief Postmaster General,Bihar Circle,Patna",Posts
368,6338,"Chief Postmaster General,Jammu",Posts
369,6339,World Philatelic Exhibition Secretariat,Posts
370,6340,"Chief Postmaster General,Tamilnadu Circle,Chennai",Posts
371,6341,"Chief Postmaster General, Punjab Circle",Posts
372,6342,"Chief Postmaster General,Chhatisgarh circle",Posts
373,6343,"General Manager(Postal Account and Finance),Kolkata",Posts
374,6344,"Chief Postmaster General,West Bengal Circle",Posts
375,6345,"Chief Postmaster General,HP Circle,Shimla",Posts
376,6346,India Post Payment Bank Ltd.,Posts
377,6347,Establishment Divison,Posts
378,6348,"Office of the Chief Postmaster General,M.P. Circle",Posts
379,6349,"Office of the Chief Postmaster General,Hyderabad,Telangana Circle(Philately)",Posts
380,6350,"Director Postal Service,Gujarat Circle",Posts
381,6351,"Office of the Manager, Mail Motor Service,Chandigarh",Posts
382,7101,M/o. Corporate Affairs,Corporate Affairs
383,7102,Serious Fraud Investigation Office,Corporate Affairs
384,7103,Registrar of Companies,Corporate Affairs
385,7104,"Official Liquidator, Delhi",Corporate Affairs
386,7105,"Official Liquidator, Chandigarh",Corporate Affairs
387,7106,"Official Liquidator, Bangalore",Corporate Affairs
388,7107,"The Institute of Cost and Works Accountants of India (ICWAI), New Delhi",Corporate Affairs
389,7108,The Institute Of Chartered Accountants Of India (ICAI),Corporate Affairs
390,7109,"Company Law Board, New Delhi",Corporate Affairs
391,7110,Investor Education And Protection Fund (IEPF),Corporate Affairs
392,7111,"Official Liquidator, Shillong",Corporate Affairs
393,7112,Competition Commission Of India (CCI),Corporate Affairs
394,7113,The Institute Of Company Secretaries Of India,Corporate Affairs
395,7114,"O/O Regional Director, North-East Region",Corporate Affairs
396,7115,"Official Liquidator, Jaipur",Corporate Affairs
397,7116,Western India Regional Council of ICAI,Corporate Affairs
398,7117,Southern India Regional Council of ICAI,Corporate Affairs
399,7118,National Company Law Tribunal,Corporate Affairs
400,7119,National Company Law Appellate Tribunal(NCLAT),Corporate Affairs
401,7120,Indian Instt. Of Corporate Affairs(IICA),Corporate Affairs
402,7121,Insolvency and Bankruptcy Board of India,Corporate Affairs
403,7122,National Financial Reporting Authority NFRA,Corporate Affairs
404,8101,D/o. Consumer Affairs,"Consumer Affairs, Food & Public Distribution"
405,8102,"National Test House, Kolkata","Consumer Affairs, Food & Public Distribution"
406,8103,"BUREAU OF INDIAN STANDARDS(BIS), Delhi","Consumer Affairs, Food & Public Distribution"
407,8104,"BUREAU OF INDIAN STANDARDS(BIS), Chennai","Consumer Affairs, Food & Public Distribution"
408,8105,"BUREAU OF INDIAN STANDARDS(BIS), Patna","Consumer Affairs, Food & Public Distribution"
409,8106,"BUREAU OF INDIAN STANDARDS(BIS),Bhubaneshwar","Consumer Affairs, Food & Public Distribution"
410,8107,"BUREAU OF INDIAN STANDARDS(BIS), MUMBAI","Consumer Affairs, Food & Public Distribution"
411,8108,"Food Corporation of India, Sri Ganganagar","Consumer Affairs, Food & Public Distribution"
412,8109,Warehousing Development Abd Regulatory Authority,"Consumer Affairs, Food & Public Distribution"
413,8110,"Food Corporation of India,Regional Office,Assam","Consumer Affairs, Food & Public Distribution"
414,8111,"Food Corporation of India Hqrs,New Delhi","Consumer Affairs, Food & Public Distribution"
415,8112,"Bureau of Indian Standards,Raipur","Consumer Affairs, Food & Public Distribution"
416,8201,D/o. Food & Public Distribution,"Consumer Affairs, Food & Public Distribution"
417,8202,"National Sugar Instt., Kanpur","Consumer Affairs, Food & Public Distribution"
418,9101,M/o. Culture,Culture
419,9102,Archeological Survey of India,Culture
420,9103,"Instt. of History of Art, Delhi",Culture
421,9104,"Sahitya Academy, Delhi",Culture
422,9105,"Lalit KalaAcademy, Delhi",Culture
423,9106,"National Mission for Manuscripts, Delhi",Culture
424,9107,"National Library, Delhi",Culture
425,9108,"National Archives of India, Delhi",Culture
426,9109,"National Museum, Delhi",Culture
427,9110,"National Gallery of Modern Arts, Delhi",Culture
428,9111,"Delhi Public Liberary, Delhi",Culture
429,9112,Anthropological Survey of India,Culture
430,9113,National Research Laboratory for Conservation of Cultural  Propery,Culture
431,9114,"SANGEET NATAK ACADEMI, NEW DELHI",Culture
432,9117,"Central Secretariat Library, Shastri Bhawan, New Delhi",Culture
433,9118,"INDIRA GANDHI NATIONAL CENTRE FOR THE ARTS, NEW DELHI",Culture
434,9119,"Gandhi Smriti and Darshan Samiti, New Delhi",Culture
435,9120,"Raja Mammohun Roy Library Foundation, Kolkata",Culture
436,9121,"Indian Museum, Kolkata",Culture
437,9122,"National Library, Kolkata",Culture
438,9123,"Maulana Abul Kalam Azad Institute of Asian Studies, Kolkata",Culture
439,9124,NAVA NALANDA MAHAVIHARA,Culture
440,9125,"National Monument Authority, New Delhi",Culture
441,9126,"Victora Memorial Hall,Kolkata",Culture
442,9127,Centre for Cultural Resources and Training,Culture
443,9128,"Archeological Survey of India,Vadodara Circle",Culture
444,9129,"Kalakshetra Foundation, Chennai",Culture
445,9130,National School of Drama,Culture
446,9131,"North Central Zone Cultural Centre,Allahabad",Culture
